Year,Country,Production,Yield,Pesticides,Fertilizer (N),Fertilizer (K2O),Fertilizer (P2O5),Fertilizer (Total),Agricultural Value Added,Mean Temperature,Precipitation,Agricultural Employment,FPI,Population,Agricultural Machinery,Export Value,Export Avg Price,Import Value,Import Avg Price,Urbanization
2016,Finland,80975,36.00489106269453,1.38,149.0,37.0,22.0,86.1628628673197,2.240853,2.95,651.22,3.9,99.43,5495.219,,24986.0,1.511646197592111,57102702.0,2.1150563626589247,5.791231709589562
2017,Finland,78513,34.97238307349666,1.36,140.0,37.0,22.0,89.5385191793042,2.219686,2.36,624.03,3.8,98.01,5508.14,,580765.0,2.069268372633274,59592967.0,2.399434496062309,5.814202014195352
2018,Finland,78381,34.88251001335114,1.63,149.0,40.0,24.0,91.6194295900178,2.176597,3.14,496.45,3.7,92.95,5515.461,,723930.0,2.125792110316961,63326084.0,2.4346534625677427,5.840780926591272
2019,Finland,80634,35.83733333333333,1.22,149.0,41.0,24.0,95.2806191536748,2.26176,2.63,646.25,3.8,102.16,5521.537,,74.0,2.0,9154570.0,1.495568628668236,5.870976509847381
2020,Finland,82229,36.57873665480427,1.57,152.0,45.0,27.0,92.7918457423094,2.497584,4.11,648.5,3.7,98.55,5529.468,,944424.0,1.5419771550232173,71228657.0,2.737286834524221,5.904833025633919
2021,Finland,74933,,,,,,,2.313451,2.3,629.66,4.1,93.54,5535.992,,831717.0,1.7733157362830425,75517975.0,2.9837407843616184,5.942419816035057
1961,France,499863,23.35262789067975,,624.7,920.2,1057.7,123.589717433439,,11.34,780.82,,69.21,46143.03,379.169641946343,,,,,1.6742661206127305
1962,France,530832,24.898311444652908,,666.3,884.8,1125.9,134.481362007168,,9.81,767.57,,78.83,46635.189,411.898617511521,,,,,1.7389179231636318
1963,France,396262,18.655524692811074,,772.5,924.2,1184.3,148.142277049602,,9.42,899.11,,74.59,47121.247,445.991261886405,,,,,1.8330474478240664
1964,France,492305,23.63669099289418,,847.1,970.8,1269.8,161.190586015306,,10.46,727.8,,74.44,47641.952,499.380438201069,,,,,1.9324126380061537
1965,France,554053,26.9717164833025,,847.4,970.7,1281.5,164.889444562673,,10.01,1001.99,,78.81,48168.804,530.124494573314,,,,,2.036868302331097
1966,France,580535,28.71945186504403,,956.8,1024.7,1387.9,182.967935871743,,10.76,952.04,,75.3,48683.086,569.340302226074,,,,,2.1471262849449557
1967,France,522387,26.36187928946306,,1101.8,1158.3,1533.2,210.032363354725,,10.68,732.42,,80.32,49181.41,612.255476875415,,,,,2.263352682425402
1968,France,517977,26.834015438014816,,1245.9,1213.9,1615.5,230.040445986689,,10.3,925.02,,83.15,49647.279,670.491495534445,,,,,2.359941344802515
1969,France,478093,24.816662341032963,,1229.8,1279.6,1710.2,239.366524338172,,10.26,853.92,,78.46,50087.049,688.307998861372,,,,,2.406869731151296
1970,France,511955,26.80252342809277,,1424.8,1386.0,1835.9,267.063845668025,1.895326,10.37,821.48,,83.86,50523.586,706.321410116553,,,,,2.454797910561855
1971,France,462553,24.74868913857678,,1475.1,1503.1,1960.5,290.802591463415,1.796863,10.41,791.22,,83.81,50970.698,749.179174484053,,,,,2.503680494710532
1972,France,437871,23.50101975096608,,1651.7,1635.3,2096.6,311.350560873906,1.854277,10.08,863.3,,82.85,51410.363,767.663123274799,,,,,2.5536058739215948
1973,France,536835,28.706218918774397,,1833.0,1818.9,2183.7,340.838968179691,1.872489,10.39,714.55,,90.75,51814.075,772.695367337389,,,,,2.604385516438404
1974,France,540840,28.63556943929687,,1556.0,1413.1,1710.8,269.469846046996,1.721709,10.67,894.57,,90.65,52163.552,773.932168075009,,,,,2.656246733708022
1975,France,584955,30.86182336182336,,1709.0,1328.2,1664.3,270.368660935787,1.632186,10.58,824.11,,85.63,52450.03,786.392430623666,,,,,2.6935339868032355
1976,France,547805,29.23653733255057,,1813.0,1494.5,1795.7,298.02113128247,1.519254,10.91,756.72,,85.86,52685.266,801.120775202849,,,,,2.703315243097375
1977,France,547890,29.087385856869822,,1831.0,1558.4,1841.2,302.913408630177,1.502175,10.58,1010.25,,83.28,52925.442,810.578627280626,,,,,2.7131049478057445
1978,France,755827,39.83277997364954,,2011.0,1689.7,1950.9,323.719241629689,1.655944,10.1,818.46,,89.76,53175.309,814.268426208725,,,,,2.7229437298470227
1979,France,766193,40.49217841665786,,2221.0,1785.9,1978.9,339.319579334521,1.734416,10.33,985.25,,97.06,53428.781,818.631113154416,,,,,2.732818278131195
1980,France,797293,42.24740356083086,,2146.0,1689.2,1775.0,321.01076007326,1.678063,9.9,837.54,,97.09,53713.83,843.406593406593,,,,,2.7427422388763776
1981,France,771754,40.79900613237471,,2193.0,1699.5,1677.1,317.790710943741,1.641012,10.62,954.98,,94.21,54016.749,847.084331849823,,,,,2.752674568024306
1982,France,812938,42.73447931451401,,2196.0,1744.2,1630.7,315.6195116424,1.867388,11.31,919.55,,100.8,54319.646,846.184352161351,,,,,2.762880599945172
1983,France,718130,37.74268145267252,,2320.0,1833.6,1679.4,330.126209745883,1.72219,11.07,819.05,,96.56,54592.379,846.114664100968,,,,,2.7735886671112278
1984,France,785136,41.00997649516845,,2337.0,1863.0,1580.0,324.555000280757,1.77613,10.36,918.41,,103.46,54845.98,837.441742938963,,,,,2.7843528302734257
1985,France,886164,46.05363267851575,,2408.0,1820.7,1466.0,317.73140657256,1.848549,10.04,710.83,,101.95,55108.106,832.003570830776,,,,,2.7951292029626646
1986,France,667144,34.56346492591441,,2568.4,1878.6,1425.2,326.269585509501,1.808928,10.34,864.58,,100.7,55371.639,825.036115123903,,,,,2.8059620197000377
1987,France,668390,34.348630453774604,,2557.1,1856.1,1405.1,320.267518027192,1.817967,10.2,890.79,,103.81,55641.541,815.269444597347,,,,,2.816837083154639
1988,France,675532,35.459136003359404,,2603.8,1934.7,1460.0,336.815808679055,1.708814,11.12,906.99,,101.52,55911.478,828.271487116151,,,,,2.8277691136045875
1989,France,755638,39.9217032967033,,2660.0,1948.6,1494.8,344.632098430821,1.701268,11.71,664.92,,100.8,56169.948,823.268341436146,,,,,2.8387135061691
1990,France,789961,41.59112327901651,1.62,2492.8,1841.9,1348.9,319.531285142369,1.765037,11.73,763.36,,102.16,56412.897,809.680176330349,,,,,2.854458628379606
1991,France,780633,41.005447201021155,1.77,2569.0,1741.0,1255.0,312.091659048976,1.583351,10.75,717.68,5.7,98.46,56645.215,790.744365245383,,,,,2.880301189627167
1992,France,731985,38.42138414298087,1.4,2154.0,1347.0,1029.0,253.825594360925,1.7862,11.07,862.54,5.6,102.44,56864.048,778.846746493789,,,,,2.906413574815392
1993,France,712325,37.0431522236552,1.6,2222.0,1375.0,1007.0,255.298384145327,1.690239,10.76,892.21,5.5,96.97,57053.732,754.139449256396,,,,,2.9326900078511025
1994,France,754111,39.10491954595189,1.53,2308.3,1373.4,1030.5,260.397210464075,1.660394,11.97,961.08,5.2,98.13,57230.065,734.960931024193,,,,,2.959240631900984
1995,France,764309,39.50366449932292,1.41,2391.7,1491.1,1031.4,270.410661912387,1.696028,11.56,874.34,4.9,100.31,57420.354,721.78109403459,,,,,2.986031456239901
1996,France,731049,37.745393150522254,1.55,2523.9,1488.2,1051.9,278.16533919253,1.782966,10.56,868.3,4.8,105.97,57623.178,708.596539412249,,,,,3.013102471926484
1997,France,758654,39.063792100263115,1.73,2513.1,1436.9,1038.8,273.058166074625,1.740863,11.82,804.58,4.6,106.75,57839.363,700.050902841254,,,,,3.0403435523734
1998,France,833011,42.80192169355667,1.69,2488.1,1337.7,1011.2,264.05721148597,1.732919,11.3,813.4,4.4,107.28,58080.344,695.490774101976,,,,,3.067868761909566
1999,France,868436,44.542032107503715,1.79,2571.4,1216.4,965.6,258.997117653149,1.760653,11.7,994.74,4.2,107.74,58352.208,691.436324108734,,,,,3.1006511144174724
2000,France,799339,41.002046668137126,1.59,2316.5,1033.5,795.2,225.820511702916,1.6787,11.84,959.98,4.1,103.54,58665.453,688.663208821863,,,,,3.144465146923325
2001,France,809859,41.572590166627315,1.69,2392.3,1014.5,758.5,227.734807232134,1.598777,11.4,890.6,4.1,99.37,59014.772,688.98227941938,,,,,3.1887752259014297
2002,France,756340,38.787064482712644,1.32,2278.0,960.1,729.0,211.28378194486,1.670871,11.83,948.55,4.1,104.48,59372.786,688.022208311787,,,,,3.2337719672557785
2003,France,777896,39.95192801528443,1.29,2330.0,932.0,721.0,223.363915705973,1.404515,11.85,728.53,4.3,95.97,59728.262,672.657833373287,,,,,3.2794037679895456
2004,France,799618,41.05068074008666,1.22,2323.0,900.0,684.8,212.108013937282,1.656867,11.34,788.89,3.9,104.21,60108.438,656.195557491289,,,,,3.3257439731582896
2005,France,744756,38.215740807257724,1.3,2204.4,734.8,599.4,192.46256312032,1.534977,11.33,674.39,3.6,100.26,60510.079,640.140714783214,,,,,3.372608491517587
2006,France,603702,31.06166004651259,1.24,2200.1,731.1,561.4,190.38257265936,1.501407,11.92,817.7,3.7,96.0,60919.15,,,,,,3.420199401295196
2007,France,542299,28.013771870463835,1.36,2402.7,794.2,631.3,209.338189454343,1.454398,11.6,834.7,3.5,95.01,61329.376,,270929715.0,1.6160792990957749,582690482.0,1.177135842523439,3.4684620194845324
2008,France,582070,30.12784679089027,1.31,2098.9,390.4,295.9,152.446534236153,1.515626,11.3,935.32,2.7,99.75,61721.009,,288546010.0,1.5924910978213118,560972413.0,1.159362077695546,3.5183689683831587
2009,France,616715,31.98165261312839,1.06,2068.8,416.2,405.7,120.56342502821,1.662275,11.68,804.38,2.9,100.93,62093.296,,299248109.0,1.524293645247128,540567537.0,1.0074325197724698,3.569828375710588
2010,France,608048,31.485827318012824,1.06,2337.4,598.1,499.9,150.537957564465,1.57511,10.61,840.86,2.9,98.58,62444.567,,355117719.0,1.8743479906260887,608674706.0,1.2237424875032143,3.622951416084068
2011,France,563073,29.202607667413496,1.03,2020.0,481.2,432.1,141.299303944316,1.60281,12.3,730.83,2.9,100.92,62775.268,,368199613.0,1.7154108470135552,533491606.0,1.023378418673614,3.677783393492208
2012,France,555005,28.778356796557,1.1,2139.5,510.1,495.4,160.786305431114,1.46334,11.53,863.23,2.9,97.8,63071.416,,365702355.0,1.633563134624247,564754051.0,1.019668113021431,3.734371261743704
2013,France,512767,26.565210183295168,1.17,2178.0,448.1,456.0,169.417394582015,1.426924,11.08,940.65,3.1,96.27,63335.18,,407779899.0,1.739142190527369,598060828.0,1.0698159115647166,3.792763113251595
2014,France,573130,29.652375014874565,1.23,2194.6,455.9,408.9,168.426725431051,1.621236,12.47,934.64,2.8,102.5,63588.491,,420827655.0,1.6907787219838537,647703216.0,1.173681569104984,3.85300896795995
2015,France,583022,29.95232468533265,1.09,2212.0,370.1,429.0,170.400948118645,1.605644,12.16,713.96,2.7,102.22,63809.769,,348620354.0,1.4351315457355915,616790309.0,1.1386774649742948,3.915159189138903
2016,France,773830,39.99527393891556,1.26,2241.0,390.0,359.0,163.139120924284,1.391901,11.72,815.03,2.9,95.29,63989.319,,355110457.0,1.435736301845616,635021112.0,1.180763544684258,3.97926610154548
2017,France,764279,39.266740393371784,1.16,2242.7,444.0,427.0,177.62482732281,1.472775,11.94,735.38,2.6,101.31,64144.086,,380486015.0,1.6500895311640575,703980572.0,1.389996761909234,4.045382984346936
2018,France,671027,35.0731750661189,1.46,2167.5,458.0,433.4,171.764112013417,1.502403,12.63,877.23,2.5,97.32,64277.808,,367051505.0,1.2805647717890822,703119910.0,1.5271070738303174,4.113565232823695
2019,France,668445,35.04218724017632,0.92,2140.7,459.7,412.9,156.66523092719,1.441132,12.36,839.29,2.5,98.14,64399.759,,381484811.0,1.6220248700370452,705608578.0,1.3648650821348258,4.183867769422036
2020,France,631992,33.31439168310443,1.17,1816.9,525.5,449.9,168.992390524688,1.464648,12.71,814.97,2.4,92.56,64480.053,,446786140.0,1.7723103577518244,720448139.0,1.420044495157819,4.256347995421011
2021,France,690809,,,,,,,1.362292,11.57,836.2,2.5,96.21,64531.444,,500586036.0,1.867367915333132,816423009.0,1.5896205102556722,4.331063193816896
1961,Germany,105463,8.28850990254637,,875.8,1666.5,844.9,268.068739770867,,9.12,779.53,,72.03,73604.346,841.148936170213,,,,,2.533181768434515
1962,Germany,90101,7.099598140414467,,1046.5,1627.1,942.5,291.786951169471,,7.39,658.26,,78.99,74194.417,902.011489536315,,,,,2.541264983517168
1963,Germany,109804,8.671246939903657,,1054.2,1668.0,1027.1,304.43641594739,,7.36,635.89,,82.44,74796.217,957.165639128648,,,,,2.549374016660207
1964,Germany,112606,8.893926230155596,,1181.7,1729.3,1150.0,324.976153276869,,8.32,612.48,,80.83,75423.245,1007.00024669024,,,,,2.5575200408985936
1965,Germany,95111,7.521629102412021,,1287.6,1775.9,1146.4,345.248251460545,,7.68,898.04,,77.93,76037.469,1060.12671768288,,,,,2.565669715868368
1966,Germany,97726,7.7320990584698155,,1321.3,1671.7,1123.4,337.901522007404,,8.62,900.91,,81.94,76618.716,1108.56190867956,,,,,2.573856555622458
1967,Germany,91097,7.273213572854291,,1344.0,1735.2,1150.7,349.52518881235,,9.09,762.75,,88.29,77173.553,1158.27454560544,,,,,2.5820694489119083
1968,Germany,90191,7.212395041983207,,1443.4,1642.1,1179.5,354.46642287234,,8.34,774.36,,88.92,77646.126,1194.52875664894,,,,,2.5903200685506027
1969,Germany,85215,6.828672169244331,,1572.0,1743.7,1245.8,380.088575952004,,7.98,666.28,,85.36,78012.485,1237.91267394384,,,,,2.598574156756764
1970,Germany,85086,6.866758130901461,,1642.0,1798.5,1323.1,398.560659303882,1.660828,7.9,814.55,,88.48,78294.583,1259.17419678715,,,,,2.6067839482589155
1971,Germany,77728,6.266365688487585,,1707.8,1872.3,1320.5,409.584705390723,1.637233,8.68,562.8,,88.14,78511.398,1289.41412452988,,,,,2.614243641428108
1972,Germany,89622,7.202025072324012,,1846.9,1676.8,1333.0,404.595384871709,1.5542,8.08,626.54,,87.89,78643.556,1295.5073308897,,,,,2.6217350351906603
1973,Germany,102531,8.236083219535706,,1767.0,1821.6,1347.4,411.670225187656,1.559002,8.45,651.95,,89.44,78667.466,1302.2093411176,,,,,2.629227273584112
1974,Germany,84907,6.803990704383364,,1872.2,1886.4,1330.0,423.347670549085,1.611164,8.99,799.03,,92.39,78620.534,1303.40349417637,,,,,2.636751153448793
1975,Germany,108811,8.697921662669865,,1906.1,1805.5,1220.7,409.636159787393,1.598732,9.11,634.42,,89.05,78513.511,1310.17523461507,,,,,2.644296690437051
1976,Germany,112920,8.988298973175198,,2078.0,1819.0,1312.0,430.975759080003,1.488966,8.61,550.02,,86.72,78364.216,1306.77256556631,,,,,2.651874214363491
1977,Germany,117607,9.363614649681528,,2095.4,1654.9,1300.3,418.408334023693,1.510315,8.8,765.74,,91.02,78221.272,1317.29434181095,,,,,2.659452579810858
1978,Germany,91736,7.294529262086514,,2138.0,1623.4,1337.2,422.687655138176,1.50652,8.01,722.13,,94.78,78071.549,1321.29323183849,,,,,2.667062990419731
1979,Germany,125294,9.977225672877847,,2225.1,1681.5,1329.0,440.350667661939,1.407274,7.94,762.19,,96.5,77915.727,1333.90727378286,,,,,2.674695149126028
1980,Germany,93264,7.443256185155627,,2302.5,1640.7,1226.5,429.704821280133,1.407883,7.76,771.58,,95.1,77786.703,1341.2319201995,,,,,2.682359832230633
1981,Germany,120086,9.608417346775484,,2073.1,1656.4,1126.7,404.551816061313,1.399485,8.41,897.24,,94.78,77684.489,1345.28823725425,,,,,2.702211358238158
1982,Germany,141983,11.391447368421053,,2171.5,1538.3,1043.8,396.957411273486,1.601083,9.19,655.05,,99.46,77610.43,1354.09018789144,,,,,2.71840284065636
1983,Germany,151754,12.189076305220883,,2071.7,1437.9,1077.7,383.33918275257,1.478652,9.35,720.28,,96.66,77566.064,1366.93573995153,,,,,2.717834835393139
1984,Germany,92444,7.438364982298037,,2148.7,1538.1,1054.3,396.680890227577,1.515799,8.24,743.99,,103.17,77568.572,1370.96385542169,,,,,2.695849245922355
1985,Germany,132891,10.694591984548527,,2285.7,1482.2,1054.8,403.341640879819,1.391753,7.77,677.94,,103.44,77638.808,1372.94053692398,,,,,2.6645340592732984
1986,Germany,138455,11.147745571658616,,2287.2,1511.9,1035.4,404.219899665552,1.492724,8.25,770.41,,106.99,77803.357,1375.02842809365,,,,,2.6519273074222083
1987,Germany,117820,9.509281678773204,,2375.3,1431.5,1003.1,402.677270824613,1.363552,7.71,823.07,,103.29,78090.895,1368.32817078275,,,,,2.681369678930622
1988,Germany,148013,11.946166263115416,,2413.1,1470.4,992.3,408.00703046535,1.395917,9.29,800.1,,103.6,78477.53,1353.34951456311,,,,,2.703580912075021
1989,Germany,167641,13.52925510451134,,2253.0,1387.2,950.7,384.207883504896,1.38612,9.81,637.01,,102.7,78916.438,1334.72508159679,,,,,2.7004176552861194
1990,Germany,85509,6.888110198163364,0.58,1787.3,954.4,609.0,279.901428452093,1.337001,9.81,734.15,,100.42,79370.196,1309.41441817726,,,,,2.7199853435494665
1991,Germany,41937,3.5518760057592953,0.65,1720.0,729.0,519.0,256.826542088416,1.248918,8.73,604.17,3.9,92.11,79801.988,1297.69011160135,,,,,2.740937643903549
1992,Germany,50313,4.297318073112402,0.63,1680.0,673.0,490.0,248.003052236854,1.194202,9.64,735.03,3.7,87.24,80205.03,1152.78625621348,,,,,2.753730029185773
1993,Germany,34500,2.8964822433045083,0.55,1612.0,645.0,415.0,228.863908872902,1.088845,8.76,793.47,3.5,86.2,80573.488,1113.39499828708,,,,,2.7731260934064177
1994,Germany,35797,2.9739137658885104,0.59,1787.0,668.0,451.0,246.203811944091,0.785719,9.94,789.2,3.3,83.31,80882.126,1068.53028377806,,,,,2.8037041764820843
1995,Germany,45252,3.7519277008539924,0.66,1770.0,649.0,402.0,238.356231516688,0.791035,9.15,781.44,3.2,85.76,81123.262,1027.20743557245,,,,,2.8346194364388
1996,Germany,63762,5.285311671087533,0.67,1758.0,645.8,415.1,238.185466835657,0.813314,7.57,622.39,2.9,87.86,81300.865,1005.49218419941,,,,,2.8659190257920577
1997,Germany,54342,4.505970149253732,0.64,1788.5,658.8,409.5,241.448529411765,0.80602,9.18,665.63,2.9,88.44,81436.087,943.224306964165,,,,,2.897476683367182
1998,Germany,63786,5.268522342446518,0.69,1903.0,628.6,406.7,247.363246064484,0.774125,9.27,808.89,2.8,89.8,81524.383,902.610489098409,,,,,2.9294258818437986
1999,Germany,65046,5.4033892673201525,0.61,2014.0,619.0,420.0,256.569108441888,0.822865,9.74,768.89,2.9,92.54,81556.965,871.912535949924,,,,,2.961727590232055
2000,Germany,79932,6.649916805324459,0.7,1848.0,544.0,351.0,232.359878007455,0.768362,10.09,757.74,2.6,93.65,81551.677,838.264571331752,,,,,2.994430535092937
2001,Germany,73101,6.0811080608934365,0.66,1792.0,503.1,315.0,221.231947854059,0.729982,9.21,812.38,2.6,94.12,81514.568,,,,,,3.027403345918169
2002,Germany,75373,6.282653996832542,0.72,1788.0,480.0,327.0,220.074039521669,0.722561,9.75,910.58,2.5,89.97,81443.427,,,,,,3.0607852954075314
2003,Germany,81364,6.761738552314468,0.77,1828.0,485.0,284.0,219.698063752431,0.742379,9.57,568.34,2.4,86.08,81346.81,,,,,,3.0945352926593044
2004,Germany,96701,7.991818181818182,0.68,1778.7,479.5,303.0,215.125819465456,0.957773,9.14,731.39,2.4,95.65,81266.673,,,,,,3.1287047582313354
2005,Germany,95670,7.905304908279623,0.74,1785.9,426.0,274.0,208.757056451613,0.69377,9.26,718.19,2.4,92.14,81212.168,,,,,,3.163156039530779
2006,Germany,88638,7.347314323607427,0.8,1599.1,442.6,264.7,194.419012304062,0.626519,9.82,700.73,2.3,90.13,81177.817,,,,,,3.1980348195465504
2007,Germany,104221,8.631138716356107,0.83,1806.8,511.3,316.6,221.871768965227,0.760309,10.09,885.79,2.3,91.83,81183.83,,64723000.0,1.7393138735562377,1227834000.0,1.8503698376668685,3.2332983179884245
2008,Germany,108378,8.933234421364984,0.84,1550.5,179.1,174.4,159.582718739524,0.895051,9.76,720.15,1.8,96.41,81217.482,,75086566.0,1.8588298604954816,1361658607.0,1.9581737774774437,3.2689999595888843
2009,Germany,110916,9.132647179909428,0.75,1569.0,362.8,235.2,181.414399330264,0.920161,9.52,751.49,1.7,98.31,81260.615,,57554787.0,1.693908522891586,1235174214.0,1.7978573011918255,3.304996129174961
2010,Germany,122012,10.129680365296803,0.81,1786.0,433.6,286.3,211.596825932804,0.781399,8.19,789.24,1.6,94.55,81325.09,,61842712.0,1.9596094793789296,1388930434.0,1.949817765593235,3.341439056031949
2011,Germany,127728,10.577888198757764,0.86,1639.6,386.4,246.7,191.486989473684,0.718217,10.03,677.6,1.6,95.21,81423.378,,40530999.0,1.8821055919261933,1345493044.0,1.8896581353270576,3.3782837203638496
2012,Germany,101872,8.465348180156225,0.89,1647.8,421.0,284.7,198.921581882711,0.73584,9.45,726.41,1.6,96.12,81545.565,,45808670.0,1.8836223920314004,1378205487.0,1.938918586068257,3.380205004429308
2013,Germany,115308,9.548526001987414,0.84,1675.3,457.1,285.0,203.47061300101,0.751243,9.07,741.73,1.4,97.07,81680.591,,46507043.0,1.945106979530243,1397389666.0,1.8565909468682256,3.382122061828986
2014,Germany,140677,11.653164347249835,0.83,1821.6,459.8,301.3,217.69567781616,0.806092,10.64,713.49,1.4,102.97,81858.825,,40558509.0,2.044888412851124,1472856780.0,1.9756760673761984,3.3840428995639504
2015,Germany,134717,11.178906314828644,0.91,1712.4,397.7,287.8,202.273932128989,0.684692,10.32,655.25,1.4,99.27,82073.226,,37181296.0,1.75433387461942,1304831866.0,1.722973132346665,3.3859648868539667
2016,Germany,141994,11.869430744796455,0.9,1658.4,430.1,230.9,197.228258097424,0.658035,9.86,713.24,1.3,97.76,82331.423,,32162422.0,1.742724051866411,1313495296.0,1.7682998135971073,3.390514264391219
2017,Germany,160764,13.429454515078106,0.93,1496.5,391.6,208.5,178.118926265715,0.679865,9.91,814.74,1.3,97.5,82624.374,,38553646.0,2.0491551954060743,1493256954.0,2.034622975354335,3.397696241986708
2018,Germany,171934,14.411902766135793,0.92,1342.3,409.6,201.2,166.481118404228,0.554794,10.74,571.21,1.2,91.86,82896.696,,43486566.0,2.002756736706821,1474206902.0,2.016785839815358,3.407528668219047
2019,Germany,177628,14.910433979686058,0.91,1373.5,419.5,248.0,174.098685333789,0.621412,10.54,676.23,1.2,94.4,83148.141,,41516192.0,2.2503252484392897,1425320163.0,1.978832779484806,3.420034076215856
2020,Germany,170020,14.333164727701906,0.95,1265.4,446.5,192.2,163.242026748971,0.697037,10.79,661.6,1.3,95.43,83328.988,,40647233.0,2.1964926999877927,1568086754.0,2.1110212908681816,3.4352394889991453
2021,Germany,169437,,,,,,,0.690124,9.49,772.58,1.3,94.47,83408.554,,55998576.0,1.9043460730977344,1720769619.0,2.2757597620827323,3.453178894105987
1961,Greece,237325,64.14189189189189,,83.3,14.3,65.1,56.8088761632069,,13.93,624.27,,57.93,8526.469,80.9949892627058,,,,,1.2963884920429904
1962,Greece,223088,60.26148028092923,,91.7,10.8,76.2,69.1617184771219,,14.07,928.46,,49.48,8540.805,85.6793573174991,,,,,1.344106679006338
1963,Greece,269447,69.15990759753593,,98.4,12.1,82.3,71.4919856068041,,13.98,815.4,,54.69,8541.792,93.2286555446516,,,,,1.3935808577606872
1964,Greece,280912,73.002079002079,,125.4,16.3,100.3,82.1126291236255,,13.29,635.68,,54.73,8534.89,111.629456847717,,,,,1.4449486648085947
1965,Greece,303007,78.62143227815257,,128.8,14.3,96.2,83.8074222668004,,13.28,663.23,,59.32,8526.254,131.454363089268,,,,,1.498060497347484
1966,Greece,331506,86.08309529992209,,139.9,15.1,101.8,87.330550918197,,14.23,800.37,,62.68,8520.63,149.495826377295,,,,,1.5532014496494717
1967,Greece,333953,86.20366546205473,,145.9,13.8,101.6,91.0486754966887,,13.45,643.97,,64.03,8518.067,168.400662251656,,,,,1.6103724621797764
1968,Greece,427174,109.41956967213115,,170.3,15.4,112.4,103.282345234196,,13.64,810.97,,63.55,8518.837,171.306911234851,,,,,1.6697305667119016
1969,Greece,528421,135.35373975409837,,175.7,15.5,113.0,106.616506463374,,13.52,709.15,,65.1,8526.138,188.929400066291,,,,,1.7311049457567589
1970,Greece,651770,166.693094629156,,200.6,18.2,119.3,111.844518272425,6.908448,13.69,623.44,,70.87,8544.873,205.797342192691,,,,,1.7948237734757846
1971,Greece,706397,180.66419437340153,,199.2,17.7,117.9,116.221999331327,6.624488,13.23,747.64,,69.74,8576.109,225.79739217653,,,,,1.8531244044176736
1972,Greece,623601,159.48874680306906,,206.2,18.7,123.0,121.497487437186,6.369533,13.2,763.31,,73.54,8616.667,236.314907872697,,,,,1.894678331959121
1973,Greece,815264,209.41792961726176,,231.8,22.0,141.1,140.464998309097,5.853919,13.23,735.91,,75.87,8666.39,263.111261413595,,,,,1.9370467968742469
1974,Greece,1053585,270.77486507324596,,251.1,22.4,146.8,144.603120759837,6.558314,13.11,708.65,,84.07,8729.701,285.084803256445,,,,,1.980422680722589
1975,Greece,1076689,278.4300491336954,,255.3,25.6,157.2,159.129642365887,6.517395,13.2,657.05,,89.32,8805.415,321.265474552957,,,,,2.024770446008357
1976,Greece,672057,174.01786639047126,,281.9,32.5,167.9,170.259695290859,6.017542,12.67,770.58,,83.91,8890.428,355.457063711911,,,,,2.070173431603952
1977,Greece,772755,200.35130930775213,,294.2,36.5,173.9,175.662482566248,5.413135,13.7,487.63,,83.19,8983.236,392.782426778243,,,,,2.116466896601187
1978,Greece,1066913,272.1716836734694,,341.1,45.6,195.7,198.244953814574,5.57167,13.05,769.32,,89.27,9084.308,418.296270954499,,,,,2.1638605371424067
1979,Greece,1108877,282.44447274579727,,356.0,44.2,180.7,198.361215431888,5.055365,13.62,837.88,,86.38,9194.178,450.665756230795,,,,,2.212315311652888
1980,Greece,1000094,254.80101910828026,,333.4,35.9,157.2,181.467447468136,5.665985,12.93,791.27,,97.84,9307.148,483.310368584223,,,,,2.261924156951489
1981,Greece,1214488,307.387496836244,,337.8,34.2,155.5,198.395555555556,5.661893,13.39,733.39,,100.6,9418.994,520.526495726496,,,,,2.3053869345845777
1982,Greece,1207168,305.5348013161225,,383.8,42.8,164.0,201.707650273224,5.863778,13.23,754.29,,101.29,9528.815,544.795081967213,,,,,2.326725463609552
1983,Greece,1204303,306.6725235548765,,418.0,47.7,174.5,220.758620689655,5.40031,12.97,673.55,,97.67,9636.353,581.775862068965,,,,,2.348260965316356
1984,Greece,1539158,389.26605968639353,,426.6,49.9,174.1,222.655715263518,5.663465,13.13,620.02,,100.96,9740.382,612.104722792608,,,,,2.370026946817565
1985,Greece,1458984,371.3372359378977,,458.3,62.8,188.8,245.640138408304,5.629836,13.41,608.1,,104.39,9840.141,634.636678200692,,,,,2.391933074984256
1986,Greece,1067172,271.89095541401275,,431.6,61.6,181.5,234.369225425495,5.740857,13.53,661.64,,97.24,9936.726,671.264327891629,,,,,2.414072005177288
1987,Greece,1088146,277.44671086180523,,388.8,52.7,163.9,210.940766550523,5.563457,13.23,741.89,,94.96,10029.141,707.878048780488,,,,,2.4364164651224387
1988,Greece,1106482,281.9780835881753,,415.6,59.4,173.8,226.61543835138,5.681517,13.51,652.24,,101.8,10120.191,724.998253580161,,,,,2.458999016243102
1989,Greece,1322366,333.9308080808081,,404.2,68.8,176.5,224.507431731766,5.525913,13.15,456.23,,106.77,10211.979,731.596958174905,,,,,2.4817277350563502
1990,Greece,1188325,299.5525586085203,0.7,427.5,76.7,191.8,240.082787167989,4.681283,13.84,564.78,,92.05,10302.255,744.239392894101,,,,,2.504698334056031
